stimulus,translation_ru,stimulus_source,s_1,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9
ritɬ'i,мясо,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
riʒi,лицо,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
rok'o,сердце,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
romaʃka,ромашка,loan,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
roʃon,веревка,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
rozʲetka,розетка,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
rʲukzak,рюкзак,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
salfʲetka,салфетка,loan,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
samolʲot,самолет,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
simkarta,сим-карта,loan,r,b,r,r,b,b,r,b,b,r,b,r,r,r,r,r
sol,зуб,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
sputnʲik,спутник,loan,b,b,r,b,b,b,r,b,b,b,b,b,b,b,r,r
sumka,сумка,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
tʃ'ami,сыр,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
tarif,тариф,loan,b,b,b,b,b,r,b,b,b,b,b,b,b,b,b,b
tatʃka,тачка,loan,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
telefon,телефон,loan,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
tɬ'ir,мост,native,b,r,b,b,b,b,b,b,b,b,b,b,b,b,b,b
tʃ'itʃ'om,камешек,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
ts'a,огонь,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
ts'ːa,звезда,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
tsʲelʲevʲizor,телевизор,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
